time,temp_c,temp_f,text,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,will_it_snow,vis_km,vis_miles,uv
2023-10-06 00:00:00,26.3,79.3,Clear,3.6,5.8,277,W,1010.0,29.84,0.0,0.0,76,4,28.7,83.6,26.3,79.3,28.7,83.6,21.7,71.1,False,False,10.0,6.0,1.0
2023-10-06 01:00:00,26.1,79.0,Clear,2.5,4.0,278,W,1010.0,29.82,0.0,0.0,76,13,28.4,83.1,26.1,79.0,28.4,83.1,21.6,70.9,False,False,10.0,6.0,1.0
2023-10-06 02:00:00,25.9,78.6,Clear,1.8,2.9,295,WNW,1010.0,29.81,0.0,0.0,77,25,28.1,82.6,25.9,78.6,28.1,82.6,21.6,70.8,False,False,10.0,6.0,1.0
2023-10-06 03:00:00,25.7,78.3,Partly cloudy,2.0,3.2,321,NW,1009.0,29.8,0.0,0.0,78,32,27.9,82.3,25.7,78.3,27.9,82.3,21.5,70.8,False,False,10.0,6.0,1.0
2023-10-06 04:00:00,25.5,77.9,Partly cloudy,1.3,2.2,348,NNW,1009.0,29.8,0.0,0.0,78,42,27.7,81.8,25.5,77.9,27.7,81.8,21.5,70.6,False,False,10.0,6.0,1.0
2023-10-06 05:00:00,25.4,77.7,Partly cloudy,0.9,1.4,23,NNE,1010.0,29.82,0.0,0.0,79,44,27.5,81.6,25.4,77.7,27.5,81.6,21.4,70.6,False,False,10.0,6.0,1.0
2023-10-06 06:00:00,25.3,77.5,Partly cloudy,0.9,1.4,45,NE,1010.0,29.84,0.0,0.0,80,44,27.4,81.3,25.3,77.5,27.4,81.3,21.5,70.6,False,False,10.0,6.0,1.0
2023-10-06 07:00:00,25.4,77.8,Partly cloudy,1.1,1.8,55,NE,1011.0,29.86,0.0,0.0,79,44,27.6,81.7,25.4,77.8,27.6,81.7,21.6,70.8,False,False,10.0,6.0,7.0
2023-10-06 08:00:00,25.9,78.7,Partly cloudy,1.3,2.2,58,ENE,1012.0,29.88,0.0,0.0,77,43,28.2,82.8,25.9,78.7,28.2,82.8,21.7,71.0,False,False,10.0,6.0,7.0
2023-10-06 09:00:00,26.6,79.8,Partly cloudy,0.7,1.1,38,NE,1012.0,29.89,0.0,0.0,74,39,29.0,84.1,26.6,79.8,29.0,84.1,21.7,71.0,False,False,10.0,6.0,7.0
2023-10-06 10:00:00,27.2,80.9,Sunny,1.3,2.2,229,SW,1012.0,29.88,0.0,0.0,72,17,29.6,85.3,27.2,80.9,29.6,85.3,21.6,70.9,False,False,10.0,6.0,7.0
2023-10-06 11:00:00,27.6,81.6,Sunny,3.6,5.8,249,WSW,1011.0,29.86,0.0,0.0,70,3,30.2,86.3,27.6,81.6,30.2,86.3,21.6,71.0,False,False,10.0,6.0,7.0
2023-10-06 12:00:00,27.8,82.0,Sunny,5.6,9.0,261,W,1010.0,29.83,0.0,0.0,69,0,30.4,86.6,27.8,82.0,30.4,86.6,21.6,70.9,False,False,10.0,6.0,7.0
2023-10-06 13:00:00,27.9,82.3,Sunny,7.4,11.9,266,W,1009.0,29.8,0.0,0.0,68,0,30.5,87.0,27.9,82.3,30.5,87.0,21.5,70.8,False,False,10.0,6.0,7.0
2023-10-06 14:00:00,28.0,82.4,Sunny,8.7,14.0,268,W,1009.0,29.79,0.0,0.0,68,0,30.6,87.1,28.0,82.4,30.6,87.1,21.5,70.8,False,False,10.0,6.0,7.0
2023-10-06 15:00:00,27.9,82.1,Sunny,9.2,14.8,266,W,1009.0,29.78,0.0,0.0,68,0,30.4,86.8,27.9,82.1,30.4,86.8,21.4,70.6,False,False,10.0,6.0,7.0
2023-10-06 16:00:00,27.6,81.7,Sunny,8.7,14.0,272,W,1009.0,29.78,0.0,0.0,69,0,30.1,86.1,27.6,81.7,30.1,86.1,21.3,70.4,False,False,10.0,6.0,7.0
2023-10-06 17:00:00,27.4,81.3,Sunny,7.8,12.6,278,W,1009.0,29.8,0.0,0.0,70,0,29.9,85.7,27.4,81.3,29.9,85.7,21.4,70.6,False,False,10.0,6.0,7.0
2023-10-06 18:00:00,27.0,80.6,Sunny,7.6,12.2,281,WNW,1009.0,29.81,0.0,0.0,71,0,29.3,84.7,27.0,80.6,29.3,84.7,21.3,70.3,False,False,10.0,6.0,7.0
2023-10-06 19:00:00,26.8,80.3,Clear,7.2,11.5,284,WNW,1010.0,29.82,0.0,0.0,71,1,29.1,84.3,26.8,80.3,29.1,84.3,21.2,70.1,False,False,10.0,6.0,1.0
2023-10-06 20:00:00,26.7,80.1,Clear,6.0,9.7,284,WNW,1011.0,29.84,0.0,0.0,71,3,28.9,84.0,26.7,80.1,28.9,84.0,21.1,70.0,False,False,10.0,6.0,1.0
2023-10-06 21:00:00,26.6,79.9,Clear,5.1,8.3,284,WNW,1011.0,29.85,0.0,0.0,72,3,28.7,83.7,26.6,79.9,28.7,83.7,21.1,69.9,False,False,10.0,6.0,1.0
2023-10-06 22:00:00,26.4,79.5,Clear,3.8,6.1,289,WNW,1011.0,29.84,0.0,0.0,72,4,28.5,83.2,26.4,79.5,28.5,83.2,20.9,69.7,False,False,10.0,6.0,1.0
2023-10-06 23:00:00,26.2,79.2,Clear,2.9,4.7,304,NW,1010.0,29.84,0.0,0.0,72,5,28.3,82.9,26.2,79.2,28.3,82.9,20.9,69.5,False,False,10.0,6.0,1.0
